iter	RMSE
0	5.036321121
1	4.946454615
2	4.850463329
3	4.757420277
4	4.663834718
5	4.582498648
6	4.518098359
7	4.436764576
8	4.355807382
9	4.278541226
10	4.214092279
11	4.156510049
12	4.072565495
13	4.006177695
14	3.94336165
15	3.887151372
16	3.827479471
17	3.757646589
18	3.696993528
19	3.632708682
20	3.580317309
21	3.521897055
22	3.471960176
23	3.414541078
24	3.358103557
25	3.310713649
26	3.258575731
27	3.205757633
28	3.155392103
29	3.10796393
30	3.059945745
31	3.02188917
32	2.973200055
33	2.925471902
34	2.887099019
35	2.848025216
36	2.813795929
37	2.772227611
38	2.727077173
39	2.688848952
40	2.65654624
41	2.629610462
42	2.597435819
43	2.560117076
44	2.525927239
45	2.490122392
46	2.451431195
47	2.418140254
48	2.381902113
49	2.357572935
50	2.324053464
51	2.298059259
52	2.281207592
53	2.254277987
54	2.231120125
55	2.203230019
56	2.17573574
57	2.152246036
58	2.124029784
59	2.100609779
60	2.0775219
61	2.056039646
62	2.034240338
63	2.010879369
64	1.989315449
65	1.964948252
66	1.944843928
67	1.936005139
68	1.923115445
69	1.901038499
70	1.877457992
71	1.856234738
72	1.835440046
73	1.815121983
74	1.793904522
75	1.77321109
76	1.756593636
77	1.735897505
78	1.718265576
79	1.701207221
80	1.68960857
81	1.674405083
82	1.65455305
83	1.635460073
84	1.619686224
85	1.602168364
86	1.589493552
87	1.574376245
88	1.559398853
89	1.547846999
90	1.535265442
91	1.518323409
92	1.504919568
93	1.492606043
94	1.477064305
95	1.47094574
96	1.460058711
97	1.444808033
98	1.431574171
99	1.420426131
100	1.414840207
101	1.403538248
102	1.389669462
103	1.378873389
104	1.369831648
105	1.358500297
106	1.353032015
107	1.34158007
108	1.328652083
109	1.316918876
110	1.307044499
111	1.298134648
112	1.29059158
113	1.281468382
114	1.273981284
115	1.263621081
116	1.254516
117	1.244164875
118	1.23592858
119	1.231427946
120	1.22202526
121	1.210887028
122	1.199683157
123	1.190123172
124	1.183861542
125	1.175588454
126	1.167958657
127	1.159887886
128	1.151370013
129	1.141570174
130	1.133240871
131	1.121779792
132	1.111433777
133	1.103026867
134	1.094983736
135	1.084122636
136	1.076167717
137	1.068888365
138	1.062298514
139	1.058998628
140	1.053914599
141	1.046332404
142	1.040131526
143	1.02967128
144	1.020849437
145	1.014032886
146	1.009347961
147	0.9997288289
148	0.9937577482
149	0.9885975227
150	0.9828372788
151	0.9773467987
152	0.9685858855
153	0.9628666085
154	0.9565220555
155	0.9519688286
156	0.9478402812
157	0.9450239529
158	0.9408845254
159	0.937006249
160	0.9330414242
161	0.9293862594
162	0.9227949915
163	0.9192717236
164	0.9130464166
165	0.9077341317
166	0.9028402069
167	0.9003746487
168	0.8949898624
169	0.8917822829
170	0.8868199448
171	0.8822042564
172	0.8747884241
173	0.8701288634
174	0.8646773673
175	0.8605735577
176	0.8571584264
177	0.8493645807
178	0.8424758783
179	0.8382983074
180	0.8363557228
181	0.8322412527
182	0.8288020348
183	0.8223779772
184	0.8175851418
185	0.8142781738
186	0.8095719464
187	0.8036275337
188	0.7984372834
189	0.7941280166
190	0.7913284437
191	0.7855309522
192	0.7824786825
193	0.7776472789
194	0.7748332282
195	0.7732701509
196	0.7713978051
197	0.7656287428
198	0.761728823
199	0.7580771887
200	0.7554422071
201	0.753949114
202	0.7507168585
203	0.7478094039
204	0.7451428586
205	0.7431150561
206	0.7381872724
207	0.7314748238
208	0.7283240553
209	0.7232350827
210	0.7200045465
211	0.7171980558
212	0.7159563374
213	0.7100479234
214	0.7068258851
215	0.705655773
216	0.7026811757
217	0.7014064663
218	0.6973264687
219	0.6919482744
220	0.6908757419
221	0.6875330893
222	0.685181804
223	0.6819277158
224	0.6776168157
225	0.6765832078
226	0.6752502175
227	0.672420572
228	0.6713435341
229	0.6668650937
230	0.6642291778
231	0.6595014522
232	0.6567907265
233	0.6558364747
234	0.6509704847
235	0.6489040046
236	0.6452671355
237	0.6442008375
238	0.6410256663
239	0.6392311828
240	0.6371002419
241	0.6345828569
242	0.6313769036
243	0.6294483766
244	0.6278123574
245	0.6269296675
246	0.6243230238
247	0.6229466443
248	0.6217143944
249	0.6177524545
250	0.6165875407
251	0.6123314011
