iter	Passed	Remaining
0	1	1887
1	6	3124
2	7	2588
3	9	2261
4	10	2074
5	11	1957
6	12	1805
7	13	1732
8	14	1610
9	15	1583
10	17	1556
11	18	1511
12	19	1449
13	20	1422
14	21	1410
15	22	1409
16	24	1398
17	25	1386
18	26	1374
19	28	1372
20	29	1372
21	30	1361
22	31	1336
23	31	1297
24	33	1294
25	33	1263
26	34	1245
27	35	1241
28	37	1242
29	38	1241
30	39	1238
31	40	1239
32	41	1219
33	42	1219
34	44	1219
35	45	1217
36	46	1215
37	47	1214
38	48	1206
39	49	1194
40	51	1192
41	52	1194
42	53	1197
43	54	1187
44	55	1185
45	57	1185
46	58	1184
47	59	1183
48	60	1182
49	62	1182
50	63	1181
51	64	1171
52	65	1175
53	67	1178
54	68	1176
55	69	1170
56	70	1172
57	72	1169
58	73	1164
59	74	1165
60	76	1171
61	77	1166
62	78	1169
63	79	1162
64	80	1161
65	81	1156
66	83	1158
67	84	1160
68	85	1151
69	86	1153
70	88	1154
71	89	1156
72	90	1153
73	92	1154
74	93	1157
75	94	1151
76	95	1146
77	96	1141
78	97	1138
79	98	1138
80	100	1137
81	101	1138
82	103	1139
83	104	1140
84	105	1135
85	106	1133
86	108	1135
87	109	1131
88	110	1127
89	111	1123
90	112	1120
91	113	1117
92	114	1118
93	115	1117
94	117	1116
95	118	1111
96	118	1104
97	119	1100
98	120	1095
99	121	1096
100	122	1090
101	124	1093
102	125	1091
103	126	1087
104	127	1082
105	128	1080
106	128	1076
107	129	1072
108	131	1072
109	132	1074
110	134	1076
111	136	1078
112	137	1078
113	137	1071
114	138	1069
115	140	1070
116	142	1073
117	143	1073
118	144	1071
119	145	1064
120	145	1059
121	146	1057
122	148	1056
123	149	1053
124	149	1047
125	151	1047
126	152	1048
127	153	1045
128	154	1042
129	155	1042
130	157	1043
131	158	1043
132	160	1044
133	161	1044
134	163	1045
135	164	1044
136	166	1045
137	167	1045
138	168	1042
139	168	1036
140	169	1033
141	171	1034
142	172	1034
143	174	1036
144	175	1036
145	177	1038
146	178	1034
147	179	1035
148	181	1036
149	183	1037
150	184	1038
151	186	1040
152	188	1041
153	189	1043
154	191	1044
155	193	1046
156	195	1047
157	196	1049
158	198	1049
159	199	1048
160	200	1043
161	200	1037
162	202	1038
163	202	1034
164	204	1034
165	206	1035
166	207	1036
167	209	1037
168	211	1039
169	213	1040
170	213	1037
171	215	1035
172	216	1037
173	218	1037
174	220	1038
175	221	1038
176	223	1040
177	225	1041
178	227	1043
179	228	1043
180	230	1045
181	233	1048
182	235	1050
183	236	1048
184	237	1047
185	239	1050
186	242	1052
187	243	1050
188	244	1048
189	246	1050
190	248	1051
191	250	1053
192	251	1052
193	253	1053
194	256	1058
195	257	1054
196	257	1051
197	260	1057
198	263	1061
199	265	1063
200	268	1067
201	270	1070
202	271	1066
203	273	1066
204	275	1067
205	276	1065
206	278	1065
207	280	1066
208	282	1068
209	284	1071
210	285	1066
211	286	1063
212	287	1063
213	290	1065
214	292	1066
215	294	1067
216	295	1067
217	297	1068
218	299	1068
219	300	1065
220	301	1064
221	303	1063
222	305	1064
223	308	1067
224	309	1066
225	312	1070
226	314	1070
227	316	1071
228	318	1070
229	320	1071
230	321	1071
231	322	1067
232	323	1064
233	324	1061
234	325	1060
235	327	1059
236	328	1056
237	330	1058
238	333	1060
239	335	1061
240	336	1059
241	337	1058
242	339	1058
243	342	1060
244	344	1061
245	346	1061
246	348	1061
247	350	1061
248	351	1058
249	352	1056
250	354	1057
251	356	1058
252	358	1059
253	359	1056
254	360	1054
255	362	1053
256	363	1050
257	364	1049
258	365	1046
259	366	1043
260	368	1043
261	370	1043
262	372	1043
263	374	1044
264	376	1045
265	378	1044
266	380	1044
267	381	1041
268	382	1038
269	384	1039
270	386	1040
271	389	1041
272	391	1041
273	393	1041
274	395	1042
275	396	1039
276	397	1036
277	399	1036
278	400	1035
279	403	1037
280	405	1037
281	407	1038
282	409	1038
283	411	1038
284	413	1037
285	415	1037
286	418	1038
287	419	1037
288	421	1037
289	423	1038
290	426	1038
291	427	1037
292	430	1037
293	431	1036
294	433	1036
295	435	1035
296	437	1035
297	439	1034
298	440	1031
299	441	1030
300	443	1030
301	445	1029
302	447	1029
303	449	1029
304	451	1028
305	453	1028
306	454	1026
307	457	1026
308	459	1027
309	461	1027
310	464	1028
311	466	1028
312	468	1028
313	470	1027
314	471	1025
315	472	1022
316	473	1020
317	475	1018
318	477	1018
319	477	1015
320	479	1014
321	481	1014
322	483	1013
323	484	1011
324	486	1010
325	487	1008
326	488	1005
327	489	1003
328	490	1000
329	491	997
330	492	995
331	493	992
332	494	990
333	495	987
334	496	985
335	497	982
336	498	980
337	499	977
338	500	975
339	501	972
340	502	970
341	504	969
342	505	967
343	506	965
344	507	962
345	507	959
346	508	957
347	509	954
348	510	952
349	511	949
350	512	947
351	513	944
352	514	942
353	515	939
354	515	937
355	516	934
356	517	932
357	518	930
358	519	928
359	520	926
360	521	923
361	522	921
362	523	919
363	524	917
364	530	922
365	535	927
366	536	924
367	538	924
368	539	921
369	540	919
370	541	917
371	542	915
372	544	914
373	545	913
374	546	910
375	547	908
376	548	906
377	549	904
378	550	902
379	551	899
380	552	897
381	554	896
382	555	894
383	556	892
384	557	890
385	558	888
